rdoIdx     armIdx    refApvIdx    apvIdx    sigElecChanId    glbElecChanId    glbGeomChanId
1    0    6    6    43    811    970
1    0    6    6    44    812    587
1    0    6    6    45    813    715
1    0    6    6    46    814    843
1    0    6    6    47    815    971
1    0    6    6    48    816    588
1    0    6    6    49    817    716
1    0    6    6    50    818    844
1    0    6    6    51    819    972
1    0    6    6    52    820    589
1    0    6    6    53    821    717
1    0    6    6    54    822    845
1    0    6    6    55    823    973
1    0    6    6    56    824    590
1    0    6    6    57    825    718
1    0    6    6    58    826    846
1    0    6    6    59    827    974
1    0    6    6    60    828    591
1    0    6    6    61    829    719
1    0    6    6    62    830    847
1    0    6    6    63    831    975
1    0    6    6    64    832    592
1    0    6    6    65    833    720
1    0    6    6    66    834    848
1    0    6    6    67    835    976
1    0    6    6    68    836    593
1    0    6    6    69    837    721
1    0    6    6    70    838    849
1    0    6    6    71    839    977
1    0    6    6    72    840    594
1    0    6    6    73    841    722
1    0    6    6    74    842    850
1    0    6    6    75    843    978
1    0    6    6    76    844    595
1    0    6    6    77    845    723
1    0    6    6    78    846    851
1    0    6    6    79    847    979
1    0    6    6    80    848    596
1    0    6    6    81    849    724
1    0    6    6    82    850    852
1    0    6    6    83    851    980
1    0    6    6    84    852    597
1    0    6    6    85    853    725
1    0    6    6    86    854    853
1    0    6    6    87    855    981
1    0    6    6    88    856    598
1    0    6    6    89    857    726
1    0    6    6    90    858    854
1    0    6    6    91    859    982
1    0    6    6    92    860    599
1    0    6    6    93    861    727
1    0    6    6    94    862    855
1    0    6    6    95    863    983
1    0    6    6    96    864    600
1    0    6    6    97    865    728
1    0    6    6    98    866    856
1    0    6    6    99    867    984
1    0    6    6    100    868    601
1    0    6    6    101    869    729
1    0    6    6    102    870    857
1    0    6    6    103    871    985
1    0    6    6    104    872    602
1    0    6    6    105    873    730
1    0    6    6    106    874    858
1    0    6    6    107    875    986
1    0    6    6    108    876    603
1    0    6    6    109    877    731
1    0    6    6    110    878    859
1    0    6    6    111    879    987
1    0    6    6    112    880    604
1    0    6    6    113    881    732
1    0    6    6    114    882    860
1    0    6    6    115    883    988
1    0    6    6    116    884    605
1    0    6    6    117    885    733
1    0    6    6    118    886    861
1    0    6    6    119    887    989
1    0    6    6    120    888    606
1    0    6    6    121    889    734
1    0    6    6    122    890    862
1    0    6    6    123    891    990
1    0    6    6    124    892    607
1    0    6    6    125    893    735
1    0    6    6    126    894    863
1    0    6    6    127    895    991
1    0    7    7    0    896    992
1    0    7    7    1    897    864
1    0    7    7    2    898    736
1    0    7    7    3    899    608
1    0    7    7    4    900    993
1    0    7    7    5    901    865
1    0    7    7    6    902    737
1    0    7    7    7    903    609
1    0    7    7    8    904    994
1    0    7    7    9    905    866
1    0    7    7    10    906    738
1    0    7    7    11    907    610
1    0    7    7    12    908    995
1    0    7    7    13    909    867
1    0    7    7    14    910    739
1    0    7    7    15    911    611
1    0    7    7    16    912    996
1    0    7    7    17    913    868
1    0    7    7    18    914    740
1    0    7    7    19    915    612
1    0    7    7    20    916    997
1    0    7    7    21    917    869
1    0    7    7    22    918    741
1    0    7    7    23    919    613
1    0    7    7    24    920    998
1    0    7    7    25    921    870
1    0    7    7    26    922    742
1    0    7    7    27    923    614
1    0    7    7    28    924    999
1    0    7    7    29    925    871
1    0    7    7    30    926    743
1    0    7    7    31    927    615
1    0    7    7    32    928    1000
1    0    7    7    33    929    872
1    0    7    7    34    930    744
1    0    7    7    35    931    616
1    0    7    7    36    932    1001
1    0    7    7    37    933    873
1    0    7    7    38    934    745
1    0    7    7    39    935    617
1    0    7    7    40    936    1002
1    0    7    7    41    937    874
1    0    7    7    42    938    746
1    0    7    7    43    939    618
1    0    7    7    44    940    1003
1    0    7    7    45    941    875
1    0    7    7    46    942    747
1    0    7    7    47    943    619
1    0    7    7    48    944    1004
1    0    7    7    49    945    876
1    0    7    7    50    946    748
1    0    7    7    51    947    620
1    0    7    7    52    948    1005
1    0    7    7    53    949    877
1    0    7    7    54    950    749
1    0    7    7    55    951    621
1    0    7    7    56    952    1006
1    0    7    7    57    953    878
1    0    7    7    58    954    750
1    0    7    7    59    955    622
1    0    7    7    60    956    1007
1    0    7    7    61    957    879
1    0    7    7    62    958    751
1    0    7    7    63    959    623
1    0    7    7    64    960    1008
1    0    7    7    65    961    880
1    0    7    7    66    962    752
1    0    7    7    67    963    624
1    0    7    7    68    964    1009
1    0    7    7    69    965    881
1    0    7    7    70    966    753
1    0    7    7    71    967    625
1    0    7    7    72    968    1010
1    0    7    7    73    969    882
1    0    7    7    74    970    754
1    0    7    7    75    971    626
1    0    7    7    76    972    1011
1    0    7    7    77    973    883
1    0    7    7    78    974    755
1    0    7    7    79    975    627
1    0    7    7    80    976    1012
1    0    7    7    81    977    884
1    0    7    7    82    978    756
1    0    7    7    83    979    628
1    0    7    7    84    980    1013
